,Month_name,Date,Total
0,apr,2014-04-01,1554993
1,apr,2015-04-01,1568690
2,apr,2016-04-01,1735991
3,apr,2017-04-01,1930319
4,apr,2018-04-01,2135060
5,apr,2019-04-01,1972901
6,apr,2020-04-01,484266
7,apr,2021-04-01,1310611
8,apr,2022-04-01,1804308
9,apr,2023-04-01,1743471
10,aug,2014-08-01,1464384
11,aug,2015-08-01,1476927
12,aug,2016-08-01,1670991
13,aug,2017-08-01,1735119
14,aug,2018-08-01,1960390
15,aug,2019-08-01,1810433
16,aug,2020-08-01,1400107
17,aug,2021-08-01,1561405
18,aug,2022-08-01,1679289
19,aug,2023-08-01,1826599
20,dec,2014-12-01,1484227
21,dec,2015-12-01,1751682
22,dec,2016-12-01,1544109
23,dec,2017-12-01,1789703
24,dec,2018-12-01,2196752
25,dec,2019-12-01,1890948
26,dec,2020-12-01,2118849
27,dec,2021-12-01,1762082
28,dec,2022-12-01,1649851
29,dec,2023-12-01,1997321
30,feb,2014-02-01,1427039
31,feb,2015-02-01,1542658
32,feb,2016-02-01,1747360
33,feb,2017-02-01,1661828
34,feb,2018-02-01,1906973
35,feb,2019-02-01,1898035
36,feb,2020-02-01,1957304
37,feb,2021-02-01,1702920
38,feb,2022-02-01,1543960
39,feb,2023-02-01,1799654
40,jan,2014-01-01,1657620
41,jan,2015-01-01,1624151
42,jan,2016-01-01,1736790
43,jan,2017-01-01,1641829
44,jan,2018-01-01,2109614
45,jan,2019-01-01,2127286
46,jan,2020-01-01,2000367
47,jan,2021-01-01,1862692
48,jan,2022-01-01,1624337
49,jan,2023-01-01,1854479
50,jan,2024-01-01,2127872
51,jul,2014-07-01,1626970
52,jul,2015-07-01,1658592
53,jul,2016-07-01,1688693
54,jul,2017-07-01,1811139
55,jul,2018-07-01,2123636
56,jul,2019-07-01,2036371
57,jul,2020-07-01,1328228
58,jul,2021-07-01,1770186
59,jul,2022-07-01,1615226
60,jul,2023-07-01,1773224
61,jun,2014-06-01,1624486
62,jun,2015-06-01,1708998
63,jun,2016-06-01,1818261
64,jun,2017-06-01,1947564
65,jun,2018-06-01,2101695
66,jun,2019-06-01,1922649
67,jun,2020-06-01,1137143
68,jun,2021-06-01,1404937
69,jun,2022-06-01,1707424
70,jun,2023-06-01,1872032
71,mar,2014-03-01,1625450
72,mar,2015-03-01,1632503
73,mar,2016-03-01,1763049
74,mar,2017-03-01,2258765
75,mar,2018-03-01,2205665
76,mar,2019-03-01,2085480
77,mar,2020-03-01,2590030
78,mar,2021-03-01,1873189
79,mar,2022-03-01,1801616
80,mar,2023-03-01,2065855
81,may,2014-05-01,1684166
82,may,2015-05-01,1653098
83,may,2016-05-01,1851232
84,may,2017-05-01,2011418
85,may,2018-05-01,2316347
86,may,2019-05-01,2076577
87,may,2020-05-01,242376
88,may,2021-05-01,596782
89,may,2022-05-01,1839096
90,may,2023-05-01,2037164
91,nov,2014-11-01,1896519
92,nov,2015-11-01,1956476
93,nov,2016-11-01,2132151
94,nov,2017-11-01,2455825
95,nov,2018-11-01,2404580
96,nov,2019-11-01,2527451
97,nov,2020-11-01,2121815
98,nov,2021-11-01,2030241
99,nov,2022-11-01,2416157
100,nov,2023-11-01,2859792
101,oct,2014-10-01,1718799
102,oct,2015-10-01,1549125
103,oct,2016-10-01,1993720
104,oct,2017-10-01,2251699
105,oct,2018-10-01,2019722
106,oct,2019-10-01,2122229
107,oct,2020-10-01,1662815
108,oct,2021-10-01,1549953
109,oct,2022-10-01,2301036
110,oct,2023-10-01,2122789
111,sep,2014-09-01,1542500
112,sep,2015-09-01,1542939
113,sep,2016-09-01,1636173
114,sep,2017-09-01,1790646
115,sep,2018-09-01,1920685
116,sep,2019-09-01,1652441
117,sep,2020-09-01,1563587
118,sep,2021-09-01,1460483
119,sep,2022-09-01,1569864
120,sep,2023-09-01,1884248
